,0
Flow Bytes/s,0.5946481773974741
Fwd Packet Length Min,0.5825489987744987
Min Packet Length,0.5815056206519609
Max Packet Length,0.5457279627328762
Average Packet Size,0.5448839246888404
Packet Length Mean,0.5347869122747897
Avg Fwd Segment Size,0.5193298430054305
Fwd Packet Length Mean,0.5193067440218067
Fwd Packet Length Max,0.500064624344789
Total Length of Fwd Packets,0.4943857384498189
Subflow Fwd Bytes,0.4934863577115798
Flow Packets/s,0.45912701631030095
Fwd Packets/s,0.4443402694368337
Flow IAT Mean,0.4396757527424069
Bwd Packets/s,0.43946834515241284
Inbound,0.4338943936112094
Total Backward Packets,0.4280987387929793
Subflow Bwd Packets,0.4249177006031317
Flow IAT Max,0.4239251961871422
Flow IAT Std,0.42042353337567295
Bwd Header Length,0.4141139255967554
Flow Duration,0.39947188272143364
min_seg_size_forward,0.398698717369264
Bwd IAT Total,0.39099220773243815
Bwd IAT Mean,0.3894554521808511
Fwd Header Length,0.38479948156479815
Bwd IAT Max,0.3844039164777706
Fwd Header Length.1,0.3822267278814204
Bwd IAT Min,0.3562759833810272
Packet Length Std,0.3246708254753572
Packet Length Variance,0.314668933842001
Down/Up Ratio,0.30598109484674074
Fwd IAT Mean,0.27756793200029684
Init_Win_bytes_forward,0.2687080812143481
Fwd IAT Total,0.2634977614248364
Fwd IAT Max,0.2621303056473887
Protocol,0.253829350825455
Bwd Packet Length Max,0.24919131669760763
Avg Bwd Segment Size,0.24635477498664482
Bwd Packet Length Mean,0.24512926887676034
Subflow Bwd Bytes,0.24158295472432711
Total Length of Bwd Packets,0.24006758336669765
act_data_pkt_fwd,0.21492799360419323
Subflow Fwd Packets,0.18844205370714273
Total Fwd Packets,0.18701870215646843
Init_Win_bytes_backward,0.18485741784386023
Flow IAT Min,0.18207430913752232
Fwd IAT Min,0.17157853365700948
Bwd Packet Length Min,0.17061455396393344
URG Flag Count,0.15738574770365354
Fwd Packet Length Std,0.10072869650823058
Fwd IAT Std,0.10072857147811431
Bwd IAT Std,0.07932077101099333
CWE Flag Count,0.06959731429268001
Bwd Packet Length Std,0.06477918447449205
Active Mean,0.05095930614020494
Active Min,0.050810909466730836
ACK Flag Count,0.049529186769883715
Idle Mean,0.048561339705487594
Active Max,0.04841428351795529
RST Flag Count,0.047126317377847116
Idle Min,0.04441873421918974
Active Std,0.035684556275925816
Idle Max,0.03192701906865292
Fwd PSH Flags,0.02847646369805834
Idle Std,0.023593626720197935
PSH Flag Count,0.009365305785309808
Bwd Avg Packets/Bulk,0.004584931479092669
Bwd Avg Bulk Rate,0.004412230224831948
Bwd Avg Bytes/Bulk,0.0022915385160835466
Fwd Avg Bulk Rate,0.0006486712636357694
SYN Flag Count,0.0
FIN Flag Count,0.0
Fwd Avg Bytes/Bulk,0.0
ECE Flag Count,0.0
Fwd Avg Packets/Bulk,0.0
